JavaScript,CoffeeScript,42
AngularJS,SQL Server,42
SQL Server,iOS,42
Java,Cassandra,42
PHP,SQL Server,41
Android,C#,41
C++,SQL Server,41
Python,Go,40
LAMP,LAMP,40
PHP,C,40
PHP,C#,38
Android,Ruby,38
C++,"Cloud (AWS, GAE, Azure, etc.)",38
SQL,Go,37
MongoDB,ReactJS,37
"Cloud (AWS, GAE, Azure, etc.)",JavaScript,37
C++,Swift,37
WordPress,Python,36
C,Arduino / Raspberry Pi,36
"Cloud (AWS, GAE, Azure, etc.)",Node.js,36
C++,Ruby,36
AngularJS,Cordova,34
AngularJS,iOS,34
Python,Scala,34
C#,C++,33
Python,PHP,33
Java,Objective-C,33
C#,Swift,32
MongoDB,SQL,32
"Cloud (AWS, GAE, Azure, etc.)",AngularJS,32
JavaScript,Cassandra,31
SQL Server,PHP,31
WordPress,Java,31
Android,Objective-C,30
Node.js,Hadoop,29
PHP,Arduino / Raspberry Pi,29
C,R,29
SQL,Cassandra,28
SQL,LAMP,28
WordPress,SQL,28
Visual Basic,JavaScript,28
"Cloud (AWS, GAE, Azure, etc.)",Python,27
Visual Basic,AngularJS,27
Node.js,Ruby,26
Java,Redis,26
JavaScript,SharePoint,25
Python,ReactJS,25
LAMP,Java,25
Node.js,Swift,24
Python,iOS,24
Cordova,JavaScript,24
Cordova,AngularJS,24
AngularJS,Swift,23
C#,PHP,23
C#,SharePoint,23
Node.js,"Cloud (AWS, GAE, Azure, etc.)",23
"Cloud (AWS, GAE, Azure, etc.)",Android,23
Hadoop,Hadoop,23
Node.js,PHP,22
"Cloud (AWS, GAE, Azure, etc.)",MongoDB,22
Visual Basic,SQL Server,22
SQL,Objective-C,21
AngularJS,Go,21
Python,Redis,21
iOS,Java,21
C++,Arduino / Raspberry Pi,21
SQL,Spark,20
JavaScript,Salesforce,20
Python,Swift,20
Android,SQL Server,20
Swift,Objective-C,20
Cordova,Node.js,20
Python,C#,19
LAMP,Hadoop,19
LAMP,SQL,19
PHP,Redis,19
Java,Cordova,19
SQL,Cordova,18
Node.js,Go,18
MongoDB,"Cloud (AWS, GAE, Azure, etc.)",18
AngularJS,Redis,17
LAMP,Ruby,17
MongoDB,Redis,17
MongoDB,Scala,17
Swift,Android,17
C,Objective-C,17
C++,R,17
Java,Windows Phone,17
AngularJS,Arduino / Raspberry Pi,16
Node.js,Redis,16
Node.js,SQL,16
Ruby,JavaScript,16
MongoDB,PHP,16
R,R,16
Cordova,Android,16
JavaScript,Spark,15
Node.js,Arduino / Raspberry Pi,15
Node.js,iOS,15
C++,Objective-C,15
Java,WordPress,15
AngularJS,Scala,14
PHP,Cordova,14
Android,ReactJS,14
"Cloud (AWS, GAE, Azure, etc.)",Hadoop,14
R,Python,14
iOS,Python,13
PHP,Objective-C,12
MongoDB,Ruby,12
Visual Basic,Python,12
SQL,Perl,11
SQL,Visual Basic,11
SQL Server,Ruby,11
SQL Server,C++,11
WordPress,Ruby,11
Android,Cordova,11
iOS,JavaScript,11
Objective-C,Java,11
SQL,Salesforce,10
C#,Arduino / Raspberry Pi,10
C#,Ruby,10
Redis,Python,10
Visual Basic,Java,10
Visual Basic,SQL,10
C#,Visual Basic,9
Python,Spark,9
LAMP,"Cloud (AWS, GAE, Azure, etc.)",9
"Cloud (AWS, GAE, Azure, etc.)",Java,9
Cordova,Cordova,9
JavaScript,Visual Basic,8
C#,C,8
Python,Haskell,8
PHP,Windows Phone,8
PHP,R,8
MongoDB,Go,8
MongoDB,iOS,8
MongoDB,Swift,8
WordPress,Hadoop,8
WordPress,iOS,8
Android,Windows Phone,8
C++,Windows Phone,8
Visual Basic,Visual Basic,8
AngularJS,C++,7
PHP,Go,7
iOS,Node.js,7
C,Windows Phone,7
Hadoop,Spark,7
Redis,AngularJS,7
JavaScript,Perl,6
C#,R,6
C,Go,6
Redis,Node.js,6
Cordova,MongoDB,6
JavaScript,Haskell,5
Android,R,5
Objective-C,Python,5
Java,Haskell,5
AngularJS,WordPress,4
C#,Objective-C,4
C#,ReactJS,4
Ruby,Python,4
SQL Server,Arduino / Raspberry Pi,4
SQL Server,Visual Basic,4
Android,Go,4
Hadoop,Scala,4
Redis,Redis,4
SQL,CoffeeScript,3
Arduino / Raspberry Pi,Android,3
Arduino / Raspberry Pi,Arduino / Raspberry Pi,3
AngularJS,R,3
Python,Cassandra,3
LAMP,WordPress,3
SQL Server,SharePoint,3
ReactJS,ReactJS,3
WordPress,LAMP,3
Hadoop,Java,3
Redis,MongoDB,3
AngularJS,Cassandra,2
Java,LAMP,2
Node.js,Scala,1
Ruby,Android,1
Ruby,MongoDB,1
PHP,Perl,1
SQL Server,Swift,1
Visual Basic,Node.js,1
Matlab,Python,1
